"State","State Postal Code","Electoral Votes","Party 2012","Party 2016","Party 2020","Candidate 2012","Candidate 2016","Candidate 2020","Original Source"
"ALABAMA","AL","9","REPUBLICAN","REPUBLICAN","REPUBLICAN","ROMNEY, MITT","TRUMP, DONALD J.","TRUMP, DONALD J.","https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/42MVDX"
"ALASKA","AK","3","REPUBLICAN","REPUBLICAN","REPUBLICAN","ROMNEY, MITT","TRUMP, DONALD J.","TRUMP, DONALD J.",""
"ARIZONA","AZ","11","REPUBLICAN","REPUBLICAN","DEMOCRAT","ROMNEY, MITT","TRUMP, DONALD J.","BIDEN, JOSEPH R. JR",""
"ARKANSAS","AR","6","REPUBLICAN","REPUBLICAN","REPUBLICAN","ROMNEY, MITT","TRUMP, DONALD J.","TRUMP, DONALD J.",""
"CALIFORNIA","CA","55","DEMOCRAT","DEMOCRAT","DEMOCRAT","OBAMA, BARACK H.","CLINTON, HILLARY","BIDEN, JOSEPH R. JR",""
"COLORADO","CO","9","DEMOCRAT","DEMOCRAT","DEMOCRAT","OBAMA, BARACK H.","CLINTON, HILLARY","BIDEN, JOSEPH R. JR",""
"CONNECTICUT","CT","7","DEMOCRAT","DEMOCRAT","DEMOCRAT","OBAMA, BARACK H.","CLINTON, HILLARY","BIDEN, JOSEPH R. JR",""
"DELAWARE","DE","3","DEMOCRAT","DEMOCRAT","DEMOCRAT","OBAMA, BARACK H.","CLINTON, HILLARY","BIDEN, JOSEPH R. JR",""
"DISTRICT OF COLUMBIA","DC","3","DEMOCRAT","DEMOCRAT","DEMOCRAT","OBAMA, BARACK H.","CLINTON, HILLARY","BIDEN, JOSEPH R. JR",""
"FLORIDA","FL","29","DEMOCRAT","REPUBLICAN","REPUBLICAN","OBAMA, BARACK H.","TRUMP, DONALD J.","TRUMP, DONALD J.",""
"GEORGIA","GA","16","REPUBLICAN","REPUBLICAN","DEMOCRAT","ROMNEY, MITT","TRUMP, DONALD J.","BIDEN, JOSEPH R. JR",""
"HAWAII","HI","4","DEMOCRAT","DEMOCRAT","DEMOCRAT","OBAMA, BARACK H.","CLINTON, HILLARY","BIDEN, JOSEPH R. JR",""
"IDAHO","ID","4","REPUBLICAN","REPUBLICAN","REPUBLICAN","ROMNEY, MITT","TRUMP, DONALD J.","TRUMP, DONALD J.",""
"ILLINOIS","IL","20","DEMOCRAT","DEMOCRAT","DEMOCRAT","OBAMA, BARACK H.","CLINTON, HILLARY","BIDEN, JOSEPH R. JR",""
"INDIANA","IN","11","REPUBLICAN","REPUBLICAN","REPUBLICAN","ROMNEY, MITT","TRUMP, DONALD J.","TRUMP, DONALD J.",""
"IOWA","IA","6","DEMOCRAT","REPUBLICAN","REPUBLICAN","OBAMA, BARACK H.","TRUMP, DONALD J.","TRUMP, DONALD J.",""
"KANSAS","KS","6","REPUBLICAN","REPUBLICAN","REPUBLICAN","ROMNEY, MITT","TRUMP, DONALD J.","TRUMP, DONALD J.",""
"KENTUCKY","KY","8","REPUBLICAN","REPUBLICAN","REPUBLICAN","ROMNEY, MITT","TRUMP, DONALD J.","TRUMP, DONALD J.",""
"LOUISIANA","LA","8","REPUBLICAN","REPUBLICAN","REPUBLICAN","ROMNEY, MITT","TRUMP, DONALD J.","TRUMP, DONALD J.",""
"MAINE","ME","4","DEMOCRAT","DEMOCRAT","DEMOCRAT","OBAMA, BARACK H.","CLINTON, HILLARY","BIDEN, JOSEPH R. JR",""
"MARYLAND","MD","10","DEMOCRAT","DEMOCRAT","DEMOCRAT","OBAMA, BARACK H.","CLINTON, HILLARY","BIDEN, JOSEPH R. JR",""
"MASSACHUSETTS","MA","11","DEMOCRAT","DEMOCRAT","DEMOCRAT","OBAMA, BARACK H.","CLINTON, HILLARY","BIDEN, JOSEPH R. JR",""
"MICHIGAN","MI","16","DEMOCRAT","REPUBLICAN","DEMOCRAT","OBAMA, BARACK H.","TRUMP, DONALD J.","BIDEN, JOSEPH R. JR",""
"MINNESOTA","MN","10","DEMOCRAT","DEMOCRAT","DEMOCRAT","OBAMA, BARACK H.","CLINTON, HILLARY","BIDEN, JOSEPH R. JR",""
"MISSISSIPPI","MS","6","REPUBLICAN","REPUBLICAN","REPUBLICAN","ROMNEY, MITT","TRUMP, DONALD J.","TRUMP, DONALD J.",""
"MISSOURI","MO","10","REPUBLICAN","REPUBLICAN","REPUBLICAN","ROMNEY, MITT","TRUMP, DONALD J.","TRUMP, DONALD J.",""
"MONTANA","MT","3","REPUBLICAN","REPUBLICAN","REPUBLICAN","ROMNEY, MITT","TRUMP, DONALD J.","TRUMP, DONALD J.",""
"NEBRASKA","NE","5","REPUBLICAN","REPUBLICAN","REPUBLICAN","ROMNEY, MITT","TRUMP, DONALD J.","TRUMP, DONALD J.",""
"NEVADA","NV","6","DEMOCRAT","DEMOCRAT","DEMOCRAT","OBAMA, BARACK H.","CLINTON, HILLARY","BIDEN, JOSEPH R. JR",""
"NEW HAMPSHIRE","NH","4","DEMOCRAT","DEMOCRAT","DEMOCRAT","OBAMA, BARACK H.","CLINTON, HILLARY","BIDEN, JOSEPH R. JR",""
"NEW JERSEY","NJ","14","DEMOCRAT","DEMOCRAT","DEMOCRAT","OBAMA, BARACK H.","CLINTON, HILLARY","BIDEN, JOSEPH R. JR",""
"NEW MEXICO","NM","5","DEMOCRAT","DEMOCRAT","DEMOCRAT","OBAMA, BARACK H.","CLINTON, HILLARY","BIDEN, JOSEPH R. JR",""
"NEW YORK","NY","29","DEMOCRAT","DEMOCRAT","DEMOCRAT","OBAMA, BARACK H.","CLINTON, HILLARY","BIDEN, JOSEPH R. JR",""
"NORTH CAROLINA","NC","15","REPUBLICAN","REPUBLICAN","REPUBLICAN","ROMNEY, MITT","TRUMP, DONALD J.","TRUMP, DONALD J.",""
"NORTH DAKOTA","ND","3","REPUBLICAN","REPUBLICAN","REPUBLICAN","ROMNEY, MITT","TRUMP, DONALD J.","TRUMP, DONALD J.",""
"OHIO","OH","18","DEMOCRAT","REPUBLICAN","REPUBLICAN","OBAMA, BARACK H.","TRUMP, DONALD J.","TRUMP, DONALD J.",""
"OKLAHOMA","OK","7","REPUBLICAN","REPUBLICAN","REPUBLICAN","ROMNEY, MITT","TRUMP, DONALD J.","TRUMP, DONALD J.",""
"OREGON","OR","7","DEMOCRAT","DEMOCRAT","DEMOCRAT","OBAMA, BARACK H.","CLINTON, HILLARY","BIDEN, JOSEPH R. JR",""
"PENNSYLVANIA","PA","20","DEMOCRAT","REPUBLICAN","DEMOCRAT","OBAMA, BARACK H.","TRUMP, DONALD J.","BIDEN, JOSEPH R. JR",""
"RHODE ISLAND","RI","4","DEMOCRAT","DEMOCRAT","DEMOCRAT","OBAMA, BARACK H.","CLINTON, HILLARY","BIDEN, JOSEPH R. JR",""
"SOUTH CAROLINA","SC","9","REPUBLICAN","REPUBLICAN","REPUBLICAN","ROMNEY, MITT","TRUMP, DONALD J.","TRUMP, DONALD J.",""
"SOUTH DAKOTA","SD","3","REPUBLICAN","REPUBLICAN","REPUBLICAN","ROMNEY, MITT","TRUMP, DONALD J.","TRUMP, DONALD J.",""
"TENNESSEE","TN","11","REPUBLICAN","REPUBLICAN","REPUBLICAN","ROMNEY, MITT","TRUMP, DONALD J.","TRUMP, DONALD J.",""
"TEXAS","TX","38","REPUBLICAN","REPUBLICAN","REPUBLICAN","ROMNEY, MITT","TRUMP, DONALD J.","TRUMP, DONALD J.",""
"UTAH","UT","6","REPUBLICAN","REPUBLICAN","REPUBLICAN","ROMNEY, MITT","TRUMP, DONALD J.","TRUMP, DONALD J.",""
"VERMONT","VT","3","DEMOCRAT","DEMOCRAT","DEMOCRAT","OBAMA, BARACK H.","CLINTON, HILLARY","BIDEN, JOSEPH R. JR",""
"VIRGINIA","VA","13","DEMOCRAT","DEMOCRAT","DEMOCRAT","OBAMA, BARACK H.","CLINTON, HILLARY","BIDEN, JOSEPH R. JR",""
"WASHINGTON","WA","12","DEMOCRAT","DEMOCRAT","DEMOCRAT","OBAMA, BARACK H.","CLINTON, HILLARY","BIDEN, JOSEPH R. JR",""
"WEST VIRGINIA","WV","5","REPUBLICAN","REPUBLICAN","REPUBLICAN","ROMNEY, MITT","TRUMP, DONALD J.","TRUMP, DONALD J.",""
"WISCONSIN","WI","10","DEMOCRAT","REPUBLICAN","DEMOCRAT","OBAMA, BARACK H.","TRUMP, DONALD J.","BIDEN, JOSEPH R. JR",""
"WYOMING","WY","3","REPUBLICAN","REPUBLICAN","REPUBLICAN","ROMNEY, MITT","TRUMP, DONALD J.","TRUMP, DONALD J.",""